tconst,numVotes,averageRating
tt0044165,126,6.4
tt0044328,178,5.8
tt0044385,25,7.5
tt0044409,819,6.9
tt0044414,303,7.2
tt0044433,105,6.2
tt0044441,287,6.4
tt0044454,54,5.6
tt0044487,3478,7.0
tt0044504,263,6.0
tt0044511,96,6.8
tt0044536,88,5.8
tt0044565,80,5.6
tt0044602,3456,7.2
tt0044640,197,6.5
tt0044673,942,6.0
tt0044766,110,6.6
tt0044768,33,6.1
tt0044857,205,5.6
tt0044881,469,5.4
tt0044883,465,7.5
tt0044915,48,5.7
tt0044918,143,6.3
tt0044977,411,7.2
tt0044992,34,7.0
tt0045034,5417,7.6
tt0045060,124,6.6
tt0045081,2684,7.2
tt0045098,870,7.8
tt0045122,129,6.8
tt0045142,42,6.6
tt0045251,9528,7.5
tt0045265,410,6.1
tt0045275,78,4.6
tt0045302,679,6.8
tt0045311,39,5.7
tt0045478,322,6.7
tt0045505,304,6.9
tt0045525,185,6.9
tt0045527,70,6.6
tt0045569,144,6.1
tt0045601,58,6.0
tt0045617,154,5.9
tt0045641,48,5.9
tt0045700,133,6.7
tt0045730,305,5.9
tt0045739,38,7.9
tt0045882,87,5.6
tt0045909,28,5.6
tt0045910,248,6.8
tt0045942,205,6.2
tt0045981,739,6.6
tt0046022,11190,7.9
tt0046030,158,5.6
tt0046086,53,5.9
tt0046115,335,5.9
tt0046149,915,7.2
tt0046255,346,6.7
tt0046268,67111,8.1
tt0046273,18,4.9
tt0046352,292,6.9
tt0046409,190,6.0
tt0046413,41,4.9
tt0046429,1917,7.4
tt0046451,8621,7.7
tt0046456,124,6.4
tt0046461,425,6.1
tt0046480,592,6.5
tt0046487,20382,7.3
tt0046511,12422,7.3
tt0046518,212,6.1
tt0046521,20025,7.8
tt0046572,150,6.8
tt0046688,541,5.1
tt0046690,718,6.8
tt0046695,1400,6.0
tt0046697,71,5.9
tt0046731,790,5.4
tt0046737,113,6.1
tt0046794,245,6.6
tt0046798,151,6.3
tt0046833,115,6.2
tt0046837,71,6.6
tt0046868,32,6.0
tt0046911,69729,8.1
tt0046960,76,5.8
tt0046998,4486,7.3
tt0047003,146,5.4
tt0047044,155,5.9
tt0047099,356,6.9
tt0047113,88,5.9
tt0047122,84,6.4
tt0047162,4320,6.1
tt0047201,104,6.2
tt0047217,352,6.9
tt0047243,518,6.8
tt0047250,690,6.7
tt0047265,262,6.3
tt0047291,158,6.5
tt0047340,50,5.7
tt0047358,302,5.8
tt0047427,396,6.6
tt0047432,696,6.7
tt0047461,100,7.0
tt0047484,638,6.8
tt0047567,287,5.8
tt0047596,29,5.2
tt0047597,211,5.8
tt0047645,23,4.5
tt0047697,135,5.8
tt0047817,209,5.9
tt0047818,167,6.8
tt0047822,214,7.2
tt0047853,145,5.8
tt0047876,7016,7.5
tt0047892,13436,7.6
tt0047894,111,4.7
tt0047913,299,6.3
tt0047921,136,5.3
tt0047925,951,6.8
tt0047982,641,7.1
tt0048005,279,6.4
tt0048006,354,5.9
tt0048008,121,4.8
tt0048011,184,6.9
tt0048021,37020,8.1
tt0048070,148,4.5
tt0048103,250,5.1
tt0048104,407,7.4
tt0048109,585,6.3
tt0048133,1121,6.7
tt0048187,172,6.6
tt0048201,146,5.7
tt0048207,155,6.6
tt0048235,181,5.6
tt0048278,23,5.5
tt0048308,6094,7.2
tt0048321,184,6.2
tt0048353,257,6.4
tt0048355,174,6.2
tt0048393,9313,7.1
tt0048413,620,6.1
tt0048437,27,5.2
tt0048499,4369,7.0
tt0048516,155,6.2
tt0048530,222,5.7
tt0048533,63,7.1
tt0048543,1319,7.0
tt0048550,64,6.7
tt0048616,287,6.3
tt0048645,387,6.6
tt0048925,108,5.6
tt0048970,170,5.4
tt0048993,153,6.6
tt0049009,238,6.9
